,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlpclassifier__activation,param_mlpclassifier__alpha,param_mlpclassifier__learning_rate,param_mlpclassifier__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
93,1.8247560024261475,0.14302353550032756,0.002651023864746094,0.0009302579187590401,tanh,1,adaptive,lbfgs,"{'mlpclassifier__activation': 'tanh', 'mlpclassifier__alpha': 1, 'mlpclassifier__learning_rate': 'adaptive', 'mlpclassifier__solver': 'lbfgs'}",0.8767825311942958,0.8894830659536542,0.8692067736185383,0.8848039215686274,0.8542780748663101,0.8919340463458111,0.9168894830659537,0.8491532976827094,0.8542780748663101,0.8342663084042394,0.8721075577566448,0.02342333340274249,3
94,10.705186796188354,0.7255176612298825,0.002830100059509277,0.0010333175093587093,tanh,1,adaptive,sgd,"{'mlpclassifier__activation': 'tanh', 'mlpclassifier__alpha': 1, 'mlpclassifier__learning_rate': 'adaptive', 'mlpclassifier__solver': 'sgd'}",0.8868092691622103,0.8970588235294118,0.8538324420677361,0.8464795008912656,0.8286541889483066,0.8362299465240641,0.8614081996434937,0.803475935828877,0.8689839572192513,0.8492312285415733,0.8532163492356191,0.026065231439405666,103
95,1.5628867387771606,0.509907670352278,0.0026760339736938477,0.0007736341196311492,tanh,1,adaptive,adam,"{'mlpclassifier__activation': 'tanh', 'mlpclassifier__alpha': 1, 'mlpclassifier__learning_rate': 'adaptive', 'mlpclassifier__solver': 'adam'}",0.8919340463458111,0.8819073083778965,0.8462566844919786,0.8464795008912656,0.8337789661319073,0.8513814616755793,0.8714349376114082,0.8061497326203209,0.874108734402852,0.841842065979997,0.8545273438529017,0.02427569630302116,101
96,2.8821250200271606,0.2388355350785586,0.002497076988220215,0.0008383474309748752,tanh,10,constant,lbfgs,"{'mlpclassifier__activation': 'tanh', 'mlpclassifier__alpha': 10, 'mlpclassifier__learning_rate': 'constant', 'mlpclassifier__solver': 'lbfgs'}",0.8767825311942958,0.8845811051693404,0.8538324420677361,0.856951871657754,0.8716577540106951,0.85650623885918,0.8865864527629234,0.8139483065953654,0.856729055258467,0.859270040304523,0.861684579788028,0.019727582982569807,65
97,3.149745750427246,0.06539587142692399,0.002331447601318359,0.0004659789337516107,tanh,10,constant,sgd,"{'mlpclassifier__activation': 'tanh', 'mlpclassifier__alpha': 10, 'mlpclassifier__learning_rate': 'constant', 'mlpclassifier__solver': 'sgd'}",0.8311051693404634,0.8413547237076648,0.785650623885918,0.7909982174688057,0.7629233511586453,0.7981283422459893,0.7905525846702317,0.767825311942959,0.7932263814616756,0.8134423048216152,0.7975207010703967,0.0237327513185249,142
98,0.5822286605834961,0.05495533571171969,0.002468299865722656,0.0005750584344906153,tanh,10,constant,adam,"{'mlpclassifier__activation': 'tanh', 'mlpclassifier__alpha': 10, 'mlpclassifier__learning_rate': 'constant', 'mlpclassifier__solver': 'adam'}",0.8235294117647058,0.8440285204991087,0.7883244206773619,0.7785204991087344,0.7555704099821747,0.7905525846702317,0.8057040998217468,0.7831996434937611,0.8059269162210339,0.8261307657859382,0.8001487272024796,0.02487084008253863,139
99,2.916745662689209,0.2931482294828881,0.0023722410202026366,0.000403833364649299,tanh,10,adaptive,lbfgs,"{'mlpclassifier__activation': 'tanh', 'mlpclassifier__alpha': 10, 'mlpclassifier__learning_rate': 'adaptive', 'mlpclassifier__solver': 'lbfgs'}",0.8767825311942958,0.8845811051693404,0.8538324420677361,0.856951871657754,0.8716577540106951,0.85650623885918,0.8865864527629234,0.8139483065953654,0.856729055258467,0.859270040304523,0.861684579788028,0.019727582982569807,65
100,3.6625991821289063,0.11307691411613931,0.0028085708618164062,0.0013076321960367497,tanh,10,adaptive,sgd,"{'mlpclassifier__activation': 'tanh', 'mlpclassifier__alpha': 10, 'mlpclassifier__learning_rate': 'adaptive', 'mlpclassifier__solver': 'sgd'}",0.8311051693404634,0.8413547237076648,0.785650623885918,0.7909982174688057,0.7629233511586453,0.7981283422459893,0.7905525846702317,0.767825311942959,0.7932263814616756,0.8134423048216152,0.7975207010703967,0.0237327513185249,142
101,0.6207816362380981,0.06974670372447747,0.0026183843612670897,0.0009061424043491933,tanh,10,adaptive,adam,"{'mlpclassifier__activation': 'tanh', 'mlpclassifier__alpha': 10, 'mlpclassifier__learning_rate': 'adaptive', 'mlpclassifier__solver': 'adam'}",0.8235294117647058,0.8440285204991087,0.7883244206773619,0.7785204991087344,0.7555704099821747,0.7905525846702317,0.8057040998217468,0.7831996434937611,0.8059269162210339,0.8261307657859382,0.8001487272024796,0.02487084008253863,139
102,0.8012832880020142,0.11213293288797344,0.0024566173553466795,0.0005962864659565149,tanh,100,constant,lbfgs,"{'mlpclassifier__activation': 'tanh', 'mlpclassifier__alpha': 100, 'mlpclassifier__learning_rate': 'constant', 'mlpclassifier__solver': 'lbfgs'}",0.841131907308378,0.8692067736185383,0.8083778966131907,0.7961229946524064,0.785873440285205,0.8083778966131907,0.7981283422459893,0.8057040998217468,0.8337789661319073,0.8212046574115539,0.8167906974702108,0.023756685727856258,133
103,0.6684317111968994,0.015880418984379686,0.002192187309265137,0.00020138293261239072,tanh,100,constant,sgd,"{'mlpclassifier__activation': 'tanh', 'mlpclassifier__alpha': 100, 'mlpclassifier__learning_rate': 'constant', 'mlpclassifier__solver': 'sgd'}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,151
104,0.5584365844726562,0.02801221232702047,0.002594733238220215,0.0011115351514023332,tanh,100,constant,adam,"{'mlpclassifier__activation': 'tanh', 'mlpclassifier__alpha': 100, 'mlpclassifier__learning_rate': 'constant', 'mlpclassifier__solver': 'adam'}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,151
105,0.7726118803024292,0.12115140568492505,0.002342033386230469,0.000577855930079109,tanh,100,adaptive,lbfgs,"{'mlpclassifier__activation': 'tanh', 'mlpclassifier__alpha': 100, 'mlpclassifier__learning_rate': 'adaptive', 'mlpclassifier__solver': 'lbfgs'}",0.841131907308378,0.8692067736185383,0.8083778966131907,0.7961229946524064,0.785873440285205,0.8083778966131907,0.7981283422459893,0.8057040998217468,0.8337789661319073,0.8212046574115539,0.8167906974702108,0.023756685727856258,133
106,1.1465424060821534,0.05774161077626381,0.002964425086975098,0.0022181773627256303,tanh,100,adaptive,sgd,"{'mlpclassifier__activation': 'tanh', 'mlpclassifier__alpha': 100, 'mlpclassifier__learning_rate': 'adaptive', 'mlpclassifier__solver': 'sgd'}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,151
107,0.5558338165283203,0.026992616569356816,0.0028078556060791016,0.0013906111357241309,tanh,100,adaptive,adam,"{'mlpclassifier__activation': 'tanh', 'mlpclassifier__alpha': 100, 'mlpclassifier__learning_rate': 'adaptive', 'mlpclassifier__solver': 'adam'}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,151
108,0.4870704412460327,0.09260680141759098,0.002098488807678223,0.00030057331170370874,relu,1e-06,constant,lbfgs,"{'mlpclassifier__activation': 'relu', 'mlpclassifier__alpha': 1e-06, 'mlpclassifier__learning_rate': 'constant', 'mlpclassifier__solver': 'lbfgs'}",0.8518270944741533,0.8598484848484849,0.8547237076648841,0.9126559714795008,0.8520499108734403,0.839349376114082,0.8972816399286987,0.8346702317290553,0.8516042780748663,0.8193013882669056,0.8573312083454072,0.026540762253467867,95
