,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestclassifier__max_depth,param_randomforestclassifier__max_features,param_randomforestclassifier__min_samples_leaf,param_randomforestclassifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
25,0.07441661357879639,0.014014984752660112,0.004769802093505859,8.882556064961185e-05,1,1,20,100,"{'randomforestclassifier__max_depth': 1, 'randomforestclassifier__max_features': 1, 'randomforestclassifier__min_samples_leaf': 20, 'randomforestclassifier__n_estimators': 100}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,541
26,0.3183412790298462,0.02265906339930277,0.01737477779388428,0.0015176297457049496,1,1,20,500,"{'randomforestclassifier__max_depth': 1, 'randomforestclassifier__max_features': 1, 'randomforestclassifier__min_samples_leaf': 20, 'randomforestclassifier__n_estimators': 500}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,541
27,0.7085109233856202,0.02282239615097203,0.04054093360900879,0.00581913257525078,1,1,20,1000,"{'randomforestclassifier__max_depth': 1, 'randomforestclassifier__max_features': 1, 'randomforestclassifier__min_samples_leaf': 20, 'randomforestclassifier__n_estimators': 1000}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,541
28,0.008295679092407226,0.0001887531808521625,0.0017845630645751953,0.00046021924181648805,1,2,1,1,"{'randomforestclassifier__max_depth': 1, 'randomforestclassifier__max_features': 2, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__n_estimators': 1}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,541
29,0.014720273017883301,0.005014603077534909,0.002304267883300781,0.001544171771146868,1,2,1,5,"{'randomforestclassifier__max_depth': 1, 'randomforestclassifier__max_features': 2, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__n_estimators': 5}",0.6495098039215687,0.5202762923351159,0.5,0.5202762923351159,0.5,0.5,0.5,0.5303030303030303,0.5278520499108734,0.5,0.5248217468805704,0.04325304229546997,513
30,0.017992401123046876,0.0048193179202337824,0.0030363321304321287,0.0017469376187291578,1,2,1,10,"{'randomforestclassifier__max_depth': 1, 'randomforestclassifier__max_features': 2, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__n_estimators': 10}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,541
31,0.04773283004760742,0.005590057548151278,0.0038538455963134767,0.001015916168235067,1,2,1,50,"{'randomforestclassifier__max_depth': 1, 'randomforestclassifier__max_features': 2, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__n_estimators': 50}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,541
32,0.0816641092300415,0.009972741330330943,0.005630850791931152,0.0026478142408309173,1,2,1,100,"{'randomforestclassifier__max_depth': 1, 'randomforestclassifier__max_features': 2, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__n_estimators': 100}",0.5,0.5075757575757576,0.5075757575757576,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5015151515151516,0.0030303030303030277,537
33,0.371236252784729,0.034192754134148455,0.020840549468994142,0.005925409312368599,1,2,1,500,"{'randomforestclassifier__max_depth': 1, 'randomforestclassifier__max_features': 2, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__n_estimators': 500}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,541
34,0.7554534435272217,0.07603834456753013,0.03862941265106201,0.009075799170896624,1,2,1,1000,"{'randomforestclassifier__max_depth': 1, 'randomforestclassifier__max_features': 2, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__n_estimators': 1000}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,541
